strategy,poison_fraction,num_labels_changed,fraction_of_train_changed,macro_f1,attack_macro_recall,f1_drop_vs_clean,f1_drop_per_changed_label
random_label_flips,0.0,0,0.0,0.3429782082324455,0.1919191919191919,0.0,0.0
random_label_flips,0.05,20,0.05,0.3115612512057324,0.14646464646464646,0.0314169570267131,0.001570847851335655
random_label_flips,0.1,40,0.1,0.3790925071412876,0.24747474747474746,-0.0361142989088421,-0.0009028574727210526
random_label_flips,0.15,60,0.15,0.35492812660954254,0.23737373737373738,-0.011949918377097024,-0.0001991653062849504
random_label_flips,0.2,80,0.2,0.2882740447957839,0.16498316498316498,0.054704163436661624,0.0006838020429582703
random_label_flips,0.25,100,0.25,0.29665688905531634,0.18771043771043772,0.04632131917712917,0.00046321319177129174
systematic_attack_to_benign,0.0,0,0.0,0.3429782082324455,0.1919191919191919,0.0,0.0
systematic_attack_to_benign,0.05,10,0.025,0.34465195246179964,0.16919191919191917,-0.0016737442293541238,-0.0001673744229354124
systematic_attack_to_benign,0.1,20,0.05,0.301802528921173,0.12794612794612795,0.04117567931127253,0.0020587839655636262
systematic_attack_to_benign,0.15,29,0.0725,0.27652151015437276,0.10521885521885521,0.06645669807807275,0.002291610278554233
systematic_attack_to_benign,0.2,39,0.0975,0.36098385429094093,0.16919191919191917,-0.018005646058495417,-0.00046168323226911324
systematic_attack_to_benign,0.25,49,0.1225,0.2987893414959579,0.08249158249158249,0.044188866736487586,0.0009018136068670936
targeted_borderline_attack_to_benign,0.0,0,0.0,0.3429782082324455,0.1919191919191919,0.0,0.0
targeted_borderline_attack_to_benign,0.05,10,0.025,0.37152864809280506,0.23316498316498316,-0.028550439860359544,-0.0028550439860359545
targeted_borderline_attack_to_benign,0.1,20,0.05,0.32798064949374434,0.1919191919191919,0.014997558738701178,0.0007498779369350589
targeted_borderline_attack_to_benign,0.15,29,0.0725,0.32885714285714285,0.14646464646464646,0.014121065375302666,0.0004869332888035402
targeted_borderline_attack_to_benign,0.2,39,0.0975,0.33605624514715426,0.16919191919191917,0.0069219630852912495,0.0001774862329561859
targeted_borderline_attack_to_benign,0.25,49,0.1225,0.3645798209134165,0.18771043771043772,-0.021601612680970994,-0.00044084923838716314
